4212.4,398.1291,22.2875962
4212.45,398.0628,22.26719532
4212.5,397.9964,22.24681009
4212.55,397.93,22.22644084
4212.6,397.8636,22.20608707
4212.6499,397.7971,22.18574927
4212.6999,397.7307,22.16542695
4212.7499,397.6643,22.14512043
4212.7999,397.5978,22.12482955
4212.8499,397.5314,22.10455446
4212.8999,397.4649,22.08429499
4212.9499,397.3984,22.06405131
4212.9999,397.3319,22.04382325
4213.0499,397.2654,22.0236108
4213.0999,397.1989,22.00341412
4213.1498,397.1324,21.98323289
4213.1998,397.0659,21.96306759
4213.2498,396.9993,21.94291789
4213.2998,396.9328,21.92278395
4213.3498,396.8662,21.90266543
4213.3998,396.7996,21.88256283
4213.4498,396.7331,21.86247565
4213.4998,396.6665,21.84240422
4213.5498,396.5999,21.82234837
4213.5998,396.5333,21.80230825
4213.6497,396.4667,21.7822837
4213.6997,396.4,21.76227471
4213.7497,396.3334,21.74228162
4213.7997,396.2667,21.72230392
4213.8497,396.2001,21.70234194
4213.8997,396.1334,21.6823955
4213.9497,396.0667,21.66246478
4213.9997,396.0001,21.64254961
4214.0497,395.9334,21.62264997
4214.0997,395.8667,21.60276603
4214.1496,395.7999,21.58289762
4214.1996,395.7332,21.56304491
4214.2496,395.6665,21.54320772
4214.2996,395.5997,21.52338605
4214.3496,395.533,21.50358006
4214.3996,395.4662,21.48378958
4214.4496,395.3994,21.46401478
4214.4996,395.3326,21.44425548
4214.5496,395.2658,21.42451169
4214.5996,395.199,21.40478355
4214.6495,395.1322,21.38507091
4214.6995,395.0654,21.36537393
4214.7495,394.9986,21.34569243
4214.7995,394.9317,21.32602658
4214.8495,394.8649,21.30637621
4214.8995,394.798,21.28674131
4214.9495,394.7311,21.26712205
4214.9995,394.6642,21.24751809
4215.0495,394.5974,21.22792993
4215.0995,394.5304,21.20835722
4215.1494,394.4635,21.18880013
4215.1994,394.3966,21.16925834
4215.2494,394.3297,21.14973216
4215.2994,394.2627,21.13022158
4215.3494,394.1958,21.11072645
4215.3994,394.1288,21.09124675
4215.4494,394.0618,21.07178266
4215.4994,393.9949,21.05233399
4215.5494,393.9279,21.03290075
4215.5994,393.8609,21.01348309
4215.6493,393.7939,20.99408085
4215.6993,393.7268,20.97469436
4215.7493,393.6598,20.95532295
4215.7993,393.5928,20.93596727
4215.8493,393.5257,20.916627
4215.8993,393.4586,20.90309111
4215.9493,393.3916,20.89828621
4215.9993,393.3245,20.8904532
4216.0493,393.2574,20.88262237
4216.0993,393.1903,20.87479388
4216.1492,393.1232,20.86696757
4216.1992,393.0561,20.85935995
4216.2492,392.9889,20.85412954
4216.2992,392.9218,20.84890022
4216.3492,392.8546,20.84367205
4216.3992,392.7875,20.84026323
4216.4492,392.7203,20.84262441
4216.4992,392.6531,20.84498334
4216.5492,392.5859,20.84733989
4216.5992,392.5187,20.8496942
4216.6491,392.4515,20.85204608
4216.6991,392.3843,20.85439564
4216.7491,392.3171,20.8567429
4216.7991,392.2498,20.85908779
4216.8491,392.1826,20.86143042
4216.8991,392.1153,20.86377063
4216.9491,392.0481,20.86610852
4216.9991,391.9808,20.86844405
4217.0491,391.9135,20.87077733
4217.0991,391.8462,20.87310823
4217.149,391.7789,20.87543677
4217.199,391.7116,20.877763
4217.249,391.6442,20.88008691
4217.299,391.5769,20.88240846
4217.349,391.5095,20.8847277
4217.399,391.4422,20.88704462
4217.449,391.3748,20.88935918
4217.499,391.3074,20.89167142
4217.549,391.2401,20.8939813
4217.599,391.1727,20.89628886
4217.6489,391.1053,20.89859406
4217.6989,391.0378,20.90089695
4217.7489,390.9704,20.90319752
4217.7989,390.903,20.90549573
4217.8489,390.8355,20.90779163
4217.8989,390.7681,20.91008516
4217.9489,390.7006,20.91237643
4217.9989,390.6331,20.91466528
4218.0489,390.5656,20.91695187
4218.0989,390.4981,20.91923604
4218.1488,390.4306,20.92151795
4218.1988,390.3631,20.92379744
4218.2488,390.2956,20.92607468
4218.2988,390.2281,20.92834955
4218.3488,390.1605,20.93068114
4218.3988,390.093,20.93313823
4218.4488,390.0254,20.93559288
4218.4988,389.9578,20.93804508
4218.5488,389.8902,20.94049479
4218.5988,389.8226,20.94294205
4218.6487,389.755,20.94538681
4218.6987,389.6874,20.94782913
4218.7487,389.6198,20.950269
4218.7987,389.5522,20.95270638
4218.8487,389.4845,20.95514125
4218.8987,389.4169,20.95757374
4218.9487,389.3492,20.96000373
4218.9987,389.2815,20.96243128
4219.0487,389.2138,20.96485626
4219.0987,389.1461,20.96727887
4219.1486,389.0784,20.96969903
4219.1986,389.0107,20.97211663
4219.2486,388.943,20.97453185
4219.2986,388.8753,20.97694457
4219.3486,388.8075,20.97935484
4219.3986,388.7398,20.98176261
4219.4486,388.672,20.98416794
4219.4986,388.6042,20.98657077
4219.5486,388.5365,20.98897122
4219.5986,388.4687,20.99136911
4219.6485,388.4009,20.99376461
4219.6985,388.333,20.99615755
4219.7485,388.2652,20.99854811
4219.7985,388.1974,21.00093617
4219.8485,388.1295,21.00332173
4219.8985,388.0617,21.0057049
4219.9485,387.9938,21.00808552
4219.9985,387.926,21.01046375
4220.0485,387.8581,21.01283948
4220.0985,387.7902,21.01521277
4220.1484,387.7223,21.01758355
4220.1984,387.6544,21.01995189
4220.2484,387.5865,21.02231774
4220.2984,387.5185,21.02468114
4220.3484,387.4506,21.0270421
4220.3984,387.3826,21.02940055
4220.4484,387.3147,21.03175657
4220.4984,387.2467,21.03411008
4220.5484,387.1787,21.03646115
4220.5984,387.1107,21.03880978
4220.6483,387.0427,21.04115591
